"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US210670002001010","Block 1010, Block Group 1, Census Tract 2, Fayette County, Kentucky","35","31","4",
"1000000US210670002001011","Block 1011, Block Group 1, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002001012","Block 1012, Block Group 1, Census Tract 2, Fayette County, Kentucky","44","42","2",
"1000000US210670002002000","Block 2000, Block Group 2, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002002001","Block 2001, Block Group 2, Census Tract 2, Fayette County, Kentucky","47","47","0",
"1000000US210670002002002","Block 2002, Block Group 2, Census Tract 2, Fayette County, Kentucky","20","9","11",
"1000000US210670002002003","Block 2003, Block Group 2, Census Tract 2, Fayette County, Kentucky","16","0","16",
"1000000US210670002002004","Block 2004, Block Group 2, Census Tract 2, Fayette County, Kentucky","37","37","0",
"1000000US210670002002005","Block 2005, Block Group 2, Census Tract 2, Fayette County, Kentucky","3","3","0",
"1000000US210670002002006","Block 2006, Block Group 2, Census Tract 2, Fayette County, Kentucky","8","5","3",
"1000000US210670002002007","Block 2007, Block Group 2, Census Tract 2, Fayette County, Kentucky","32","26","6",
"1000000US210670002002008","Block 2008, Block Group 2, Census Tract 2, Fayette County, Kentucky","21","18","3",
"1000000US210670002002009","Block 2009, Block Group 2, Census Tract 2, Fayette County, Kentucky","34","13","21",
"1000000US210670002002010","Block 2010, Block Group 2, Census Tract 2, Fayette County, Kentucky","17","17","0",
"1000000US210670002002011","Block 2011, Block Group 2, Census Tract 2, Fayette County, Kentucky","35","35","0",
"1000000US210670002002012","Block 2012, Block Group 2, Census Tract 2, Fayette County, Kentucky","39","39","0",
"1000000US210670002002013","Block 2013, Block Group 2, Census Tract 2, Fayette County, Kentucky","47","43","4",
"1000000US210670002002014","Block 2014, Block Group 2, Census Tract 2, Fayette County, Kentucky","109","95","14",
"1000000US210670002002015","Block 2015, Block Group 2, Census Tract 2, Fayette County, Kentucky","39","29","10",
"1000000US210670002002016","Block 2016, Block Group 2, Census Tract 2, Fayette County, Kentucky","49","47","2",
"1000000US210670002002017","Block 2017, Block Group 2, Census Tract 2, Fayette County, Kentucky","29","3","26",
"1000000US210670002002018","Block 2018, Block Group 2, Census Tract 2, Fayette County, Kentucky","7","7","0",
"1000000US210670002002019","Block 2019, Block Group 2, Census Tract 2, Fayette County, Kentucky","28","18","10",
"1000000US210670002002020","Block 2020, Block Group 2, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002002021","Block 2021, Block Group 2, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002002022","Block 2022, Block Group 2, Census Tract 2, Fayette County, Kentucky","16","16","0",
"1000000US210670002002023","Block 2023, Block Group 2, Census Tract 2, Fayette County, Kentucky","1","0","1",
"1000000US210670002002024","Block 2024, Block Group 2, Census Tract 2, Fayette County, Kentucky","25","24","1",
"1000000US210670002002025","Block 2025, Block Group 2, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002002026","Block 2026, Block Group 2, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002003000","Block 3000, Block Group 3, Census Tract 2, Fayette County, Kentucky","76","76","0",
"1000000US210670002003001","Block 3001, Block Group 3, Census Tract 2, Fayette County, Kentucky","3","3","0",
"1000000US210670002003002","Block 3002, Block Group 3, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002004000","Block 4000, Block Group 4, Census Tract 2, Fayette County, Kentucky","50","36","14",
"1000000US210670002004001","Block 4001, Block Group 4, Census Tract 2, Fayette County, Kentucky","57","26","31",
"1000000US210670002004002","Block 4002, Block Group 4, Census Tract 2, Fayette County, Kentucky","16","16","0",
"1000000US210670002004003","Block 4003, Block Group 4, Census Tract 2, Fayette County, Kentucky","46","38","8",
"1000000US210670002004004","Block 4004, Block Group 4, Census Tract 2, Fayette County, Kentucky","16","16","0",
"1000000US210670002004005","Block 4005, Block Group 4, Census Tract 2, Fayette County, Kentucky","4","0","4",
"1000000US210670002004006","Block 4006, Block Group 4, Census Tract 2, Fayette County, Kentucky","13","11","2",
"1000000US210670002004007","Block 4007, Block Group 4, Census Tract 2, Fayette County, Kentucky","25","25","0",
"1000000US210670002004008","Block 4008, Block Group 4, Census Tract 2, Fayette County, Kentucky","52","40","12",
"1000000US210670002004009","Block 4009, Block Group 4, Census Tract 2, Fayette County, Kentucky","32","29","3",
"1000000US210670002004010","Block 4010, Block Group 4, Census Tract 2, Fayette County, Kentucky","80","57","23",
"1000000US210670002004011","Block 4011, Block Group 4, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002004012","Block 4012, Block Group 4, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670002004013","Block 4013, Block Group 4, Census Tract 2, Fayette County, Kentucky","0","0","0",
"1000000US210670003001000","Block 1000, Block Group 1, Census Tract 3, Fayette County, Kentucky","7","0","7",
"1000000US210670003001001","Block 1001, Block Group 1, Census Tract 3, Fayette County, Kentucky","27","23","4",
"1000000US210670003001002","Block 1002, Block Group 1, Census Tract 3, Fayette County, Kentucky","10","10","0",
"1000000US210670003001003","Block 1003, Block Group 1, Census Tract 3, Fayette County, Kentucky","68","66","2",
"1000000US210670003001004","Block 1004, Block Group 1, Census Tract 3, Fayette County, Kentucky","54","46","8",
"1000000US210670003001005","Block 1005, Block Group 1, Census Tract 3, Fayette County, Kentucky","3","3","0",
"1000000US210670003001006","Block 1006, Block Group 1, Census Tract 3, Fayette County, Kentucky","18","18","0",
"1000000US210670003001007","Block 1007, Block Group 1, Census Tract 3, Fayette County, Kentucky","17","17","0",
"1000000US210670003001008","Block 1008, Block Group 1, Census Tract 3, Fayette County, Kentucky","25","19","6",
"1000000US210670003001009","Block 1009, Block Group 1, Census Tract 3, Fayette County, Kentucky","14","6","8",
"1000000US210670003001010","Block 1010, Block Group 1, Census Tract 3, Fayette County, Kentucky","36","31","5",
"1000000US210670003001011","Block 1011, Block Group 1, Census Tract 3, Fayette County, Kentucky","18","18","0",
"1000000US210670003001012","Block 1012, Block Group 1, Census Tract 3, Fayette County, Kentucky","0","0","0",
"1000000US210670003001013","Block 1013, Block Group 1, Census Tract 3, Fayette County, Kentucky","25","23","2",
"1000000US210670003002000","Block 2000, Block Group 2, Census Tract 3, Fayette County, Kentucky","0","0","0",
"1000000US210670003002001","Block 2001, Block Group 2, Census Tract 3, Fayette County, Kentucky","42","37","5",
"1000000US210670003002002","Block 2002, Block Group 2, Census Tract 3, Fayette County, Kentucky","39","39","0",
"1000000US210670003002003","Block 2003, Block Group 2, Census Tract 3, Fayette County, Kentucky","13","13","0",
"1000000US210670003002004","Block 2004, Block Group 2, Census Tract 3, Fayette County, Kentucky","21","16","5",
"1000000US210670003002005","Block 2005, Block Group 2, Census Tract 3, Fayette County, Kentucky","26","16","10",
"1000000US210670003002006","Block 2006, Block Group 2, Census Tract 3, Fayette County, Kentucky","12","12","0",
"1000000US210670003002007","Block 2007, Block Group 2, Census Tract 3, Fayette County, Kentucky","25","16","9",
"1000000US210670003002008","Block 2008, Block Group 2, Census Tract 3, Fayette County, Kentucky","48","48","0",
"1000000US210670003002009","Block 2009, Block Group 2, Census Tract 3, Fayette County, Kentucky","15","6","9",
"1000000US210670003002010","Block 2010, Block Group 2, Census Tract 3, Fayette County, Kentucky","45","34","11",
"1000000US210670003002011","Block 2011, Block Group 2, Census Tract 3, Fayette County, Kentucky","44","32","12",
"1000000US210670003003000","Block 3000, Block Group 3, Census Tract 3, Fayette County, Kentucky","43","22","21",
"1000000US210670003003001","Block 3001, Block Group 3, Census Tract 3, Fayette County, Kentucky","49","44","5",
"1000000US210670003003002","Block 3002, Block Group 3, Census Tract 3, Fayette County, Kentucky","40","35","5",
"1000000US210670003003003","Block 3003, Block Group 3, Census Tract 3, Fayette County, Kentucky","46","37","9",
"1000000US210670003003004","Block 3004, Block Group 3, Census Tract 3, Fayette County, Kentucky","85","82","3",
"1000000US210670003003005","Block 3005, Block Group 3, Census Tract 3, Fayette County, Kentucky","25","12","13",
"1000000US210670003003006","Block 3006, Block Group 3, Census Tract 3, Fayette County, Kentucky","40","25","15",
"1000000US210670003003007","Block 3007, Block Group 3, Census Tract 3, Fayette County, Kentucky","20","20","0",
