identifier,coords,lat,long
1743,"(38.033773, -84.273801)",38.033773,-84.273801
19697,"(38.034485999999994, -84.2735645)",38.034485999999994,-84.2735645
1561,"(38.033134000000004, -84.268231)",38.033134000000004,-84.268231
32100,"(38.0004045, -84.3141795)",38.0004045,-84.3141795
35923,"(38.055133700000006, -84.2717577)",38.055133700000006,-84.2717577
1475,"(38.0365, -84.282846)",38.0365,-84.282846
1800,"(38.036717, -84.282259)",38.036717,-84.282259
1799,"(38.036754, -84.282174)",38.036754,-84.282174
1802,"(38.036771, -84.282673)",38.036771,-84.282673
1801,"(38.03678699999999, -84.282778)",38.03678699999999,-84.282778
37643,"(38.0267332, -84.2737528)",38.0267332,-84.2737528
33115,"(38.0325554, -84.2742051)",38.0325554,-84.2742051
1820,"(38.03738499999999, -84.282786)",38.03738499999999,-84.282786
1819,"(38.037853, -84.283057)",38.037853,-84.283057
41553,"(37.9649771, -84.2966134)",37.9649771,-84.2966134
39865,"(37.95982779999999, -84.2833615)",37.95982779999999,-84.2833615
37426,"(37.9544984, -84.28773200000002)",37.9544984,-84.28773200000002
36326,"(37.9488403, -84.2974805)",37.9488403,-84.2974805
32064,"(37.9506895, -84.2804794)",37.9506895,-84.2804794
32614,"(38.00848280000001, -84.315408)",38.00848280000001,-84.315408
1769,"(38.00178799999999, -84.315731)",38.00178799999999,-84.315731
35678,"(37.998153099999996, -84.2704443)",37.998153099999996,-84.2704443
39111,"(38.00253719999999, -84.3134996)",38.00253719999999,-84.3134996
39695,"(38.02933409999999, -84.285184)",38.02933409999999,-84.285184
1523,"(38.03304899999999, -84.282696)",38.03304899999999,-84.282696
1901,"(38.032107999999994, -84.282745)",38.032107999999994,-84.282745
1409,"(38.03055699999999, -84.283643)",38.03055699999999,-84.283643
1902,"(38.03056999999999, -84.283411)",38.03056999999999,-84.283411
1865,"(37.998459, -84.271392)",37.998459,-84.271392
1338,"(38.027787399999994, -84.2774134)",38.027787399999994,-84.2774134
39392,"(38.026877400000004, -84.2742186)",38.026877400000004,-84.2742186
36256,"(37.98542739999999, -84.2982032)",37.98542739999999,-84.2982032
33466,"(37.9829445, -84.301762)",37.9829445,-84.301762
1837,"(37.972079, -84.295871)",37.972079,-84.295871
1703,"(38.03768500000001, -84.284112)",38.03768500000001,-84.284112
1821,"(38.037797999999995, -84.283138)",38.037797999999995,-84.283138
33439,"(37.9996725, -84.311581)",37.9996725,-84.311581
36363,"(38.05347729999999, -84.2639791)",38.05347729999999,-84.2639791
1951,"(38.03784699999999, -84.284595)",38.03784699999999,-84.284595
2029,"(38.00012, -84.418071)",38.00012,-84.418071
7373,"(37.99402, -84.462588)",37.99402,-84.462588
30855,"(38.0248145, -84.4911587)",38.0248145,-84.4911587
2337,"(38.11645109999999, -84.5264951)",38.11645109999999,-84.5264951
5856,"(38.073008, -84.505413)",38.073008,-84.505413
2665,"(38.016165, -84.572586)",38.016165,-84.572586
10467,"(38.053844, -84.537501)",38.053844,-84.537501
20707,"(38.0191477, -84.521282)",38.0191477,-84.521282
2971,"(38.09288899999999, -84.506365)",38.09288899999999,-84.506365
2847,"(37.991482999999995, -84.477435)",37.991482999999995,-84.477435
28868,"(38.042730999999996, -84.4929384)",38.042730999999996,-84.4929384
44894,"(37.984320999999994, -84.5526838)",37.984320999999994,-84.5526838
4121,"(38.088539, -84.484256)",38.088539,-84.484256
45700,"(37.9221095, -84.3705616)",37.9221095,-84.3705616
6660,"(38.059395, -84.472569)",38.059395,-84.472569
3930,"(38.05849499999999, -84.471672)",38.05849499999999,-84.471672
28390,"(38.02983989999999, -84.5287843)",38.02983989999999,-84.5287843
5348,"(38.037743, -84.478192)",38.037743,-84.478192
4487,"(37.930601, -84.403215)",37.930601,-84.403215
